SALARY,LEVEL,AIP,GLOBAL_BUSINESS,SECTOR,MEMBER_FIRM,GENDER,EDUCATION,HIRE_SOURCE,TOTAL_YOE,AIP_PERCENT
148000.0,Senior manager,15000.0,Tax,Commercial,Deloitte US,Prefer not to say,Master's Degree (non-MBA),Experienced hire,3.0,10.0
115000.0,Manager,18000.0,Tax,Not applicable,Deloitte US,Female,Master's Degree (non-MBA),Experienced hire,7.0,16.0
143000.0,Manager,3300.0,Advisory,Not applicable,Deloitte US,Female,Bachelors,Experienced hire,10.0,2.0
164000.0,Senior manager,22000.0,Services,Commercial,Deloitte US,Female,MBA,Campus hire,5.5,13.0
,Senior consultant,7000.0,Services,Not applicable,Deloitte US,Male,Bachelors,Experienced hire,9.0,
93200.0,Consultant,12300.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Campus hire,3.0,13.0
86200.0,Consultant,12300.0,Consulting,GPS,Deloitte US,Male,Bachelors,Experienced hire,4.5,14.0
78000.0,Consultant,3000.0,Consulting,GPS,Deloitte US,Male,Bachelors,Campus hire,1.75,4.0
150000.0,Manager,15000.0,Advisory,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,7.0,10.0
139900.0,Manager,34600.0,Consulting,GPS,Deloitte US,Female,J.D.,Experienced hire,4.5,25.0
130000.0,Manager,18500.0,Consulting,GPS,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,9.0,14.0
95400.0,Consultant,6900.0,Consulting,GPS,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,6.0,7.0
176000.0,Senior manager,55000.0,Consulting,Commercial,Deloitte US,Prefer not to say,Master's Degree (non-MBA),Experienced hire,12.0,31.0
151200.0,Senior consultant,20200.0,Consulting,Commercial,Deloitte US,Female,Master's Degree (non-MBA),Campus hire,2.5,13.0
87900.0,Consultant,6900.0,Consulting,GPS,Deloitte US,Female,Master's Degree (non-MBA),Experienced hire,6.0,8.0
188100.0,Senior manager,35000.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Campus hire,12.5,19.0
164800.0,Manager,31500.0,Consulting,Commercial,Deloitte US,Female,MBA,Campus hire,8.0,19.0
86400.0,Consultant,12300.0,Consulting,GPS,Deloitte US,Female,Bachelors,Campus hire,3.0,14.0
230000.0,Senior manager,23000.0,Consulting,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Campus hire,15.0,10.0
165000.0,Senior consultant,7500.0,Consulting,Commercial,Deloitte US,Female,MBA,Campus hire,7.0,5.0
92400.0,Senior consultant,10000.0,Advisory,GPS,Deloitte US,Female,Master's Degree (non-MBA),Experienced hire,4.5,11.0
94100.0,Consultant,18000.0,Consulting,Commercial,Deloitte US,Female,Bachelors,Campus hire,2.5,19.0
151800.0,Manager,29100.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Experienced hire,8.0,19.0
211800.0,Senior manager,62800.0,Consulting,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,4.0,30.0
90200.0,Consultant,3000.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Campus hire,1.8,3.0
137000.0,Manager,24000.0,Consulting,GPS,Deloitte US,Male,MBA,Experienced hire,12.0,18.0
260000.0,Director,45000.0,Advisory,Commercial,Deloitte US,Male,Bachelors,Experienced hire,15.0,17.0
93000.0,Consultant,5000.0,Consulting,Commercial,Deloitte US,Female,Bachelors,Campus hire,2.0,5.0
85000.0,Consultant,5000.0,Consulting,GPS,Deloitte US,Male,Bachelors,Experienced hire,4.0,6.0
140700.0,Senior consultant,22700.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Campus hire,4.0,16.0
122000.0,Senior consultant,22000.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Experienced hire,4.0,18.0
101400.0,Senior consultant,12900.0,Consulting,GPS,Deloitte US,Female,Master's Degree (non-MBA),Experienced hire,5.0,13.0
113000.0,Senior consultant,6900.0,Consulting,GPS,Deloitte US,Female,Master's Degree (non-MBA),Campus hire,6.0,6.0
108000.0,Senior consultant,12300.0,Consulting,Commercial,Deloitte US,Female,Bachelors,Campus hire,4.0,11.0
210000.0,Senior manager,11000.0,Tax,Not applicable,Deloitte US,Female,Master's Degree (non-MBA),Experienced hire,16.0,5.0
131000.0,Senior consultant,34200.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Experienced hire,5.0,26.0
170000.0,Manager,30000.0,Consulting,Commercial,Deloitte US,Female,Master's Degree (non-MBA),Campus hire,14.0,18.0
108000.0,Senior consultant,12000.0,Consulting,GPS,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,6.0,11.0
160000.0,Manager,27600.0,Consulting,Commercial,Deloitte US,Female,Master's Degree (non-MBA),Experienced hire,6.0,17.0
190000.0,Senior manager,41800.0,Consulting,Commercial,Deloitte US,Prefer not to say,Master's Degree (non-MBA),Experienced hire,10.0,22.0
145000.0,Senior manager,39200.0,Consulting,GPS,Deloitte US,Female,Master's Degree (non-MBA),Experienced hire,10.0,27.0
170000.0,Senior manager,65000.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Experienced hire,14.0,38.0
164500.0,Manager,19400.0,Consulting,Commercial,Deloitte US,Female,MBA,Campus hire,8.0,12.0
127500.0,Manager,22000.0,Consulting,Commercial,Deloitte US,Prefer not to say,Bachelors,Experienced hire,6.0,17.0
88900.0,Consultant,13200.0,Consulting,GPS,Deloitte US,Female,Bachelors,Experienced hire,4.0,15.0
202400.0,Senior manager,83400.0,Consulting,Commercial,Deloitte US,Male,MBA,Campus hire,11.0,41.0
170000.0,Manager,40000.0,Consulting,Commercial,Deloitte US,Female,Bachelors,Campus hire,10.0,24.0
92200.0,Consultant,,Consulting,Commercial,Deloitte US,Male,Bachelors,Campus hire,2.0,
94400.0,Consultant,3000.0,Consulting,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Campus hire,2.0,3.0
133000.0,Senior consultant,20000.0,Consulting,GPS,Deloitte US,Female,Master's Degree (non-MBA),Campus hire,2.0,15.0
120000.0,Senior consultant,20000.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Campus hire,4.0,17.0
135000.0,Manager,7000.0,Consulting,GPS,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,8.0,5.0
129900.0,Senior consultant,8600.0,Consulting,GPS,Deloitte US,Male,Bachelors,Experienced hire,5.0,7.0
165300.0,Manager,26000.0,Consulting,Commercial,Deloitte US,Male,MBA,Experienced hire,7.0,16.0
94400.0,Consultant,18000.0,Consulting,GPS,Deloitte US,Female,Bachelors,Campus hire,2.9,19.0
160000.0,Manager,33100.0,Consulting,Commercial,Deloitte US,Female,MBA,Experienced hire,9.0,21.0
,Consultant,,Consulting,Commercial,Deloitte US,Male,Bachelors,Campus hire,3.0,
105000.0,Senior consultant,16500.0,Consulting,GPS,Deloitte US,Female,Bachelors,Experienced hire,6.0,16.0
113000.0,Senior consultant,17000.0,Consulting,Commercial,Deloitte US,Female,Bachelors,Campus hire,3.5,15.0
125000.0,Manager,25000.0,Consulting,GPS,Deloitte US,Female,Bachelors,Campus hire,4.5,20.0
125000.0,Manager,25000.0,Consulting,GPS,Deloitte US,Female,Bachelors,Campus hire,4.5,20.0
112400.0,Senior consultant,15000.0,Consulting,GPS,Deloitte US,Male,Bachelors,Experienced hire,14.0,13.0
89000.0,Senior consultant,12300.0,Consulting,GPS,Deloitte US,Female,Bachelors,Experienced hire,6.0,14.0
133320.0,Manager,18500.0,Consulting,GPS,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,8.0,14.0
82500.0,Consultant,6900.0,Consulting,GPS,Deloitte US,Male,Bachelors,Campus hire,4.0,8.0
151542.0,Manager,22000.0,Advisory,GPS,Deloitte US,Non-conforming/non-binary,Bachelors,Experienced hire,30.0,15.0
194000.0,Senior manager,47800.0,Consulting,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,18.0,25.0
125000.0,Senior consultant,18000.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Experienced hire,6.8,14.0
101300.0,Senior consultant,12300.0,Consulting,GPS,Deloitte US,Male,Bachelors,Campus hire,5.0,12.0
130000.0,Senior consultant,13000.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Experienced hire,8.0,10.0
130900.0,Senior consultant,19100.0,Consulting,GPS,Deloitte US,Female,Master's Degree (non-MBA),Experienced hire,8.0,15.0
165000.0,Manager,22000.0,Consulting,Commercial,Deloitte US,Female,MBA,Campus hire,8.0,13.0
162400.0,Manager,52000.0,Consulting,GPS,Deloitte US,Male,Master's Degree (non-MBA),Campus hire,8.0,32.0
148000.0,Manager,20800.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Campus hire,7.0,14.0
182400.0,Manager,34600.0,Consulting,Commercial,Deloitte US,Male,MBA,Experienced hire,12.0,19.0
140000.0,Manager,31500.0,Consulting,Commercial,Deloitte US,Female,MBA,Campus hire,9.0,22.0
170400.0,Manager,29100.0,Consulting,Commercial,Deloitte US,Female,Master's Degree (non-MBA),Campus hire,8.0,17.0
103500.0,Consultant,25400.0,Consulting,Commercial,Deloitte US,Female,Bachelors,Campus hire,3.5,25.0
215800.0,Senior manager,51800.0,Consulting,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,15.0,24.0
120500.0,Senior consultant,12900.0,Consulting,GPS,Deloitte US,Male,MBA,Campus hire,8.5,11.0
88200.0,Consultant,18000.0,Consulting,GPS,Deloitte US,Female,Master's Degree (non-MBA),Experienced hire,4.0,20.0
83150.0,Senior consultant,5000.0,Advisory,Commercial,Deloitte US,Male,Bachelors,Campus hire,1.75,6.0
120200.0,Manager,42000.0,Advisory,GPS,Deloitte US,Female,Master's Degree (non-MBA),Experienced hire,11.0,35.0
147000.0,Manager,20000.0,Consulting,GPS,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,18.0,14.0
131000.0,Senior consultant,20200.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Experienced hire,5.0,15.0
147300.0,Manager,20000.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Experienced hire,12.0,14.0
112400.0,Senior consultant,20800.0,Consulting,GPS,Deloitte US,Female,Master's Degree (non-MBA),Campus hire,10.0,19.0
170400.0,Senior consultant,10900.0,Consulting,Commercial,Deloitte US,Male,MBA,Campus hire,4.0,6.0
130800.0,Senior consultant,40000.0,Consulting,Commercial,Deloitte US,Female,Master's Degree (non-MBA),Campus hire,7.0,31.0
90200.0,Consultant,,Consulting,Commercial,Deloitte US,Female,Bachelors,Campus hire,2.0,
169700.0,Manager,27000.0,Consulting,Commercial,Deloitte US,Male,MBA,Campus hire,10.0,16.0
200000.0,Senior manager,52000.0,Consulting,Commercial,Deloitte US,Male,MBA,Campus hire,15.0,26.0
143900.0,Manager,26000.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Experienced hire,5.0,18.0
84100.0,Consultant,12400.0,Consulting,GPS,Deloitte US,Female,Bachelors,Campus hire,3.0,15.0
198000.0,Senior manager,50000.0,Consulting,Commercial,Deloitte US,Male,MBA,Experienced hire,10.0,25.0
103000.0,Senior consultant,12300.0,Consulting,GPS,Deloitte US,Non-conforming/non-binary,Bachelors,Experienced hire,4.0,12.0
171100.0,Manager,36000.0,Consulting,Commercial,Deloitte US,Male,MBA,Campus hire,9.0,21.0
97600.0,Senior consultant,12300.0,Consulting,GPS,Deloitte US,Female,Bachelors,Experienced hire,8.0,13.0
175900.0,Senior manager,105800.0,Consulting,Commercial,Deloitte US,Female,Bachelors,Campus hire,11.0,60.0
92200.0,Consultant,5000.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Experienced hire,1.0,5.0
110000.0,Consultant,12400.0,Consulting,GPS,Deloitte US,Male,Bachelors,Campus hire,3.0,11.0
164800.0,Manager,22600.0,Consulting,Commercial,Deloitte US,Male,MBA,Campus hire,10.0,14.0
85000.0,Analyst,2000.0,Consulting,Commercial,Deloitte US,Female,Bachelors,Campus hire,1.5,2.0
170000.0,Manager,42500.0,Consulting,GPS,Deloitte US,Prefer not to say,Master's Degree (non-MBA),Experienced hire,15.0,25.0
138000.0,Manager,39500.0,Consulting,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,7.0,29.0
143400.0,Manager,35000.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Experienced hire,7.0,24.0
168900.0,Manager,34600.0,Consulting,Commercial,Deloitte US,Prefer not to say,Bachelors,Experienced hire,7.0,20.0
131000.0,Manager,34500.0,Consulting,GPS,Deloitte US,Male,Bachelors,Experienced hire,8.5,26.0
88000.0,Consultant,5000.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Campus hire,2.0,6.0
138000.0,Manager,44100.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Campus hire,6.0,32.0
87793.0,Senior consultant,3300.0,Advisory,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Campus hire,2.5,4.0
82500.0,Analyst,,Consulting,Commercial,Deloitte US,Female,Bachelors,Campus hire,2.0,
140000.0,Manager,26000.0,Consulting,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,6.0,19.0
93200.0,Consultant,12300.0,Consulting,Commercial,Deloitte US,Prefer not to say,Bachelors,Campus hire,3.0,13.0
159300.0,Senior manager,,Consulting,GPS,Deloitte US,Prefer not to say,Master's Degree (non-MBA),Experienced hire,10.0,
159300.0,Senior manager,,Consulting,GPS,Deloitte US,Prefer not to say,Master's Degree (non-MBA),Experienced hire,10.0,
164800.0,Manager,26000.0,Consulting,Commercial,Deloitte US,Female,MBA,Campus hire,4.5,16.0
91000.0,Manager,6000.0,Tax,Not applicable,Deloitte US,Female,Bachelors,Experienced hire,10.0,7.0
92640.0,Consultant,3000.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Campus hire,2.0,3.0
138000.0,Manager,22000.0,Consulting,GPS,Deloitte US,Male,Bachelors,Experienced hire,18.0,16.0
244600.0,Senior manager,55800.0,Consulting,Commercial,Deloitte US,Male,MBA,Campus hire,13.0,23.0
130000.0,Senior consultant,12900.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Experienced hire,10.0,10.0
153300.0,Manager,52200.0,Consulting,GPS,Deloitte US,Female,Bachelors,Campus hire,9.0,34.0
89681.0,Senior consultant,,Advisory,GPS,Deloitte US,Male,Bachelors,Campus hire,3.0,
199000.0,Senior manager,37500.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Experienced hire,23.0,19.0
78200.0,Analyst,,Advisory,GPS,Deloitte US,Male,Bachelors,Campus hire,1.0,
144800.0,Manager,44100.0,Consulting,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,10.0,30.0
198000.0,Senior manager,60000.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Campus hire,14.0,30.0
104000.0,Consultant,18000.0,Consulting,GPS,Deloitte US,Female,Bachelors,Experienced hire,3.0,17.0
90600.0,Consultant,,Consulting,Commercial,Deloitte US,Male,Bachelors,Campus hire,1.8,
238700.0,Senior manager,95200.0,Consulting,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Campus hire,10.0,40.0
103000.0,Manager,10000.0,Advisory,Commercial,Deloitte US,Female,Bachelors,Experienced hire,8.0,10.0
193800.0,Senior manager,33500.0,Consulting,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,15.0,17.0
87900.0,Consultant,6300.0,Consulting,GPS,Deloitte US,Male,Doctorate,Campus hire,1.0,7.0
178000.0,Manager,39000.0,Consulting,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,7.0,22.0
127300.0,Manager,20800.0,Consulting,GPS,Deloitte US,Prefer not to say,Bachelors,Campus hire,7.0,16.0
182400.0,Manager,35000.0,Consulting,Commercial,Deloitte US,Male,MBA,Campus hire,7.5,19.0
81600.0,Consultant,6900.0,Consulting,GPS,Deloitte US,Female,Bachelors,Experienced hire,5.0,8.0
220000.0,Senior manager,60000.0,Consulting,Commercial,Deloitte US,Male,MBA,Experienced hire,21.0,27.0
92500.0,Consultant,5000.0,Consulting,Commercial,Deloitte US,Female,Bachelors,Campus hire,2.0,5.0
97700.0,Consultant,5000.0,Consulting,Not applicable,Deloitte US,Female,Bachelors,Experienced hire,4.0,5.0
218000.0,Senior manager,50000.0,Consulting,Commercial,Deloitte US,Male,MBA,Experienced hire,15.0,23.0
218000.0,Senior manager,50000.0,Consulting,Commercial,Deloitte US,Male,MBA,Experienced hire,15.0,23.0
132700.0,Manager,18000.0,Consulting,Not applicable,Deloitte US,Male,Bachelors,Experienced hire,10.0,14.0
172000.0,Manager,26000.0,Consulting,Commercial,Deloitte US,Male,MBA,Experienced hire,14.0,15.0
155200.0,Manager,20800.0,Consulting,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Campus hire,8.0,13.0
176000.0,Senior manager,71000.0,Consulting,Commercial,Deloitte US,Prefer not to say,Bachelors,Experienced hire,15.0,40.0
152000.0,Manager,34000.0,Consulting,GPS,Deloitte US,Male,Bachelors,Experienced hire,10.0,22.0
122100.0,Senior consultant,14000.0,Consulting,Commercial,Deloitte US,Female,Master's Degree (non-MBA),Campus hire,5.0,11.0
185800.0,Senior manager,33500.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Experienced hire,15.0,18.0
220000.0,Senior manager,45000.0,Consulting,Commercial,Deloitte US,Female,Bachelors,Experienced hire,23.0,20.0
108000.0,Senior consultant,18000.0,Advisory,GPS,Deloitte US,Female,Master's Degree (non-MBA),Campus hire,5.0,17.0
144900.0,Manager,48400.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Experienced hire,8.0,33.0
175000.0,Manager,25000.0,Consulting,Commercial,Deloitte US,Female,MBA,Campus hire,7.0,14.0
167800.0,Manager,26000.0,Consulting,Commercial,Deloitte US,Prefer not to say,MBA,Campus hire,6.0,15.0
61700.0,Analyst,5000.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Campus hire,3.0,8.0
127200.0,Senior consultant,18000.0,Consulting,Commercial,Deloitte US,Male,MBA,Campus hire,2.7,14.0
88200.0,Analyst,4000.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Campus hire,0.8,5.0
135300.0,Senior consultant,15000.0,Consulting,Commercial,Deloitte US,Female,Bachelors,Experienced hire,12.8,11.0
86000.0,Analyst,2000.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Campus hire,1.0,2.0
105000.0,Consultant,9.0,Consulting,Commercial,Deloitte US,Female,Bachelors,Experienced hire,7.0,0.0
168000.0,Manager,36000.0,Consulting,Commercial,Deloitte US,Prefer not to say,Master's Degree (non-MBA),Campus hire,9.0,21.0
128500.0,Senior consultant,31000.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Experienced hire,6.0,24.0
,Senior consultant,20000.0,Consulting,GPS,Deloitte US,Male,Bachelors,Experienced hire,8.0,
131000.0,Manager,31500.0,Consulting,GPS,Deloitte US,Female,Master's Degree (non-MBA),Campus hire,7.0,24.0
182000.0,Manager,52000.0,Consulting,Commercial,Deloitte US,Male,MBA,Campus hire,9.0,29.0
102000.0,Senior consultant,6700.0,Advisory,Commercial,Deloitte US,Female,Master's Degree (non-MBA),Campus hire,4.0,7.0
,Manager,12000.0,Tax,Not applicable,Deloitte US,Prefer not to say,Master's Degree (non-MBA),Experienced hire,8.0,
86700.0,Consultant,3000.0,Consulting,GPS,Deloitte US,Female,Bachelors,Campus hire,1.8,3.0
75900.0,Analyst,2000.0,Consulting,GPS,Deloitte US,Male,Bachelors,Campus hire,0.7,3.0
136000.0,Senior consultant,31000.0,Consulting,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,6.0,23.0
110000.0,Senior consultant,12900.0,Consulting,GPS,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,6.0,12.0
160000.0,Manager,34100.0,Consulting,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,6.5,21.0
162500.0,Manager,52200.0,Consulting,Commercial,Deloitte US,Male,MBA,Campus hire,7.5,32.0
78900.0,Consultant,3000.0,Consulting,GPS,Deloitte US,Female,Bachelors,Campus hire,2.0,4.0
110000.0,Senior consultant,9700.0,Consulting,GPS,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,5.5,9.0
98700.0,Senior consultant,12300.0,Consulting,GPS,Deloitte US,Female,Bachelors,Experienced hire,5.0,12.0
176800.0,Manager,25900.0,Consulting,Commercial,Deloitte US,Male,MBA,Campus hire,13.0,15.0
136800.0,Manager,2.0,Consulting,Commercial,Deloitte US,Male,J.D.,Experienced hire,11.0,0.0
184000.0,Manager,28400.0,Consulting,Commercial,Deloitte US,Female,MBA,Campus hire,2.5,15.0
170400.0,Senior consultant,10800.0,Consulting,Commercial,Deloitte US,Female,MBA,GSAP,4.0,6.0
125700.0,Senior consultant,5500.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Experienced hire,4.0,4.0
139000.0,Manager,52000.0,Consulting,GPS,Deloitte US,Female,Master's Degree (non-MBA),Experienced hire,10.0,37.0
,Manager,21000.0,Consulting,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,16.0,
156200.0,Manager,20000.0,Consulting,Commercial,Deloitte US,Prefer not to say,Master's Degree (non-MBA),Experienced hire,15.0,13.0
110000.0,Senior consultant,,Consulting,GPS,Deloitte US,Male,Bachelors,Experienced hire,5.0,
90000.0,Consultant,3.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Campus hire,2.0,0.0
153700.0,Manager,34600.0,Consulting,Commercial,Deloitte US,Female,Bachelors,Campus hire,7.5,23.0
87900.0,Consultant,6900.0,Consulting,GPS,Deloitte US,Male,Master's Degree (non-MBA),Campus hire,4.0,8.0
90700.0,Consultant,5000.0,Consulting,Commercial,Deloitte US,Female,Bachelors,Experienced hire,5.0,6.0
109900.0,Senior consultant,12.0,Consulting,GPS,Deloitte US,Male,Bachelors,Experienced hire,4.0,0.0
82500.0,Consultant,6900.0,Consulting,GPS,Deloitte US,Prefer not to say,Master's Degree (non-MBA),Campus hire,5.5,8.0
94400.0,Consultant,12300.0,Consulting,GPS,Deloitte US,Female,Bachelors,Campus hire,2.5,13.0
94000.0,Senior consultant,5600.0,Consulting,GPS,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,6.0,6.0
106900.0,Senior consultant,8200.0,Advisory,Commercial,Deloitte US,Male,Bachelors,Experienced hire,5.0,8.0
164800.0,Manager,22600.0,Consulting,Commercial,Deloitte US,Female,MBA,Campus hire,9.0,14.0
179500.0,Manager,24100.0,Consulting,Commercial,Deloitte US,Male,MBA,Experienced hire,13.0,13.0
204500.0,Senior manager,22000.0,Advisory,GPS,Deloitte US,Male,Bachelors,Experienced hire,18.0,11.0
86100.0,Consultant,12300.0,Consulting,GPS,Deloitte US,Female,Bachelors,Campus hire,3.0,14.0
113200.0,Manager,15600.0,Consulting,GPS,Deloitte US,Male,Bachelors,Campus hire,7.0,14.0
175000.0,Manager,35000.0,Consulting,Commercial,Deloitte US,Female,Bachelors,Experienced hire,11.0,20.0
150000.0,Manager,14400.0,Consulting,GPS,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,16.0,10.0
188000.0,Senior manager,39000.0,Consulting,Commercial,Deloitte US,Male,MBA,Campus hire,12.0,21.0
85000.0,Senior consultant,10000.0,Services,Not applicable,Deloitte US,Male,Bachelors,Campus hire,6.0,12.0
147400.0,Manager,21000.0,Consulting,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,15.5,14.0
122000.0,Senior consultant,31000.0,Consulting,GPS,Deloitte US,Male,MBA,Campus hire,8.0,25.0
90700.0,Consultant,6900.0,Consulting,Commercial,Deloitte US,Male,Bachelors,Experienced hire,3.0,8.0
107100.0,Manager,18500.0,Consulting,GPS,Deloitte US,Female,Bachelors,Experienced hire,12.0,17.0
